1,용곡낚시터,저수지,충청북도 청주시 상당구 미원면 미원초정로 685-26,충청북도 청주시 상당구 미원면 종암리 449,36.683613,127.636857,,284597,붕어+잉어+향어,44,고정형,20000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
2,황청낚시터,저수지,충청북도 청주시 상당구 남일면 황청리길 119,충청북도 청주시 상당구 남일면 황청리 163,36.594752,127.555039,,9000,붕어+잉어+향어,44,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
3,한계리낚시터,저수지,충청북도 청주시 상당구 가덕면 한계1길 170,충청북도 청주시 상당구 가덕면 한계리 294-1,36.606594,127.562466,,139266,붕어+잉어+향어,150,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
4,중리낚시터,저수지,충청북도 청주시 상당구 미원면 쌍이운교로 262,충청북도 청주시 상당구 미원면 중리 316-1,36.669118,127.665454,,129105,붕어+잉어+향어,86,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
5,이정골낚시터,저수지,,충청북도 청주시 상당구 용정동 23-1,36.636061,127.523977,,32129,붕어+잉어+향어,160,고정형,20000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
6,장자골낚시터,저수지,충청북도 청주시 상당구 문의면 남계1길 3,충청북도 청주시 상당구 문의면 남계리 161-2,36.535554,127.503843,,7669,붕어+잉어+향어,80,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
7,척산낚시터,저수지,,충청북도 청주시 서원구 남이면 척산리 176-2,36.559086,127.453531,,21724,붕어+잉어+향어,120,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
8,일신낚시터,평지,충청북도 청주시 청원구 오창읍 일신길 34-27,충청북도 청주시 청원구 오창읍 일신리 302-1,36.756746,127.470374,,2700,붕어+잉어+향어,100,고정형,15000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
9,유호정낚시터,저수지,충청북도 청주시 청원구 내수읍 우산2길 65,충청북도 청주시 청원구 내수읍 우산리 94-2,36.710498,127.412345,,36826,붕어+잉어+향어,182,고정형,30000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
10,부연낚시터,저수지,충청북도 청주시 청원구 북이면 신기초정로 335,충청북도 청주시 청원구 북이면 부연리 280,36.736716,127.573571,,34233,붕어+잉어+향어,150,고정형,20000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
