1,계룡 낚시터,저수지,,충청남도 공주시 계룡면 하대리 485-1(계룡저수지),36.36086703,127.1576725,041-857-8104,67.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
2,정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523,127.110813,041-855-5755,0.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2019-09-25
3,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822,041-854-3664,6.6,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
4,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541,041-852-0191,5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
5,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409,041-855-0921,46.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
6,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196,041-854-9506,14.5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
7,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396,041-855-4818,25,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
8,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335,000-000-0000,13.8,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
9,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593,041-858-4600,23,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
10,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268,041-841-6929,21.4,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2019-09-25
11,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193,041-858-6900,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
12,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193,041-858-1438,2.2,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
13,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193,041-853-8400,0.5,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
14,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193,000-000-0000,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
15,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
16,반산낚시터,저수지,충청남도 부여군 규암면 수목리 12-2,충청남도 부여군 규암면 수목리 12-2,36.270867,126.839653,041-835-1997,397055,붕어,1000,"고정형, 부유형",1일 5000원,낚시터 중앙부근,구명조끼+소화기+구급약품,화장실+쓰레기통,궁남지,041-830-2244,충청남도 부여군청,2020-06-30
17,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2020-12-22
